Symbol,Sector,Prior,Open,High,Low,Close,Chg.,%Chg.,Avg,Bid,Offer,Volume,Value,Market Cap,P/E*,P/BV*,Book Value,Dividend%,Turnover Ratio,Listed Share,Par,Period,as of,Total Asset,Liabilities, Paid-up , Equity , Revenue ,Net Profit,EPS**,D/E,Net Profit%,ROA%,ROE%,YTP
PRG,Agribusiness,82.25,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,28.24,6300000000,28.24,1.26,83.34,4.05,0.6,60000000,10,Q4/2012,41274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BNC,Consumer Products: Fashion,7.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,184380000,N/A,2.06,6.78,-,1.34,13170000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PAF,Consumer Products: Fashion,1.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,756000000,N/A,N/A,-0.47,-,217.97,540000000,5,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PG,Consumer Products: Fashion,12.7,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,1200000000,10.4,0.74,16.9,4.8,3.44,96000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BTNC,Consumer Products: Fashion,19,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,87.93,204000000,87.93,0.51,33.28,2.94,0.31,12000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TR,Consumer Products: Fashion,50.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8668800000,N/A,0.42,101.78,0.86,1.37,201600000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CEI,Consumer Products: Home & Office Products,3.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1110970000,N/A,1.61,3.66,-,131.3,188300000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KYE,Consumer Products: Home & Office Products,264,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,9.72,6556000000,9.72,1.67,178.04,5.31,13.13,22000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
STHAI,Consumer Products: Pharmaceuticals,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,454502569.4,N/A,N/A,-0.15,-,1.62,499453373,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
JCT,Consumer Products: Pharmaceuticals,68.5,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,11.37,1059750000,11.37,1.29,60.64,5.1,3.03,13500000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PE,Financials: Finance and Securities,1.13,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,22.16,1016000000,22.16,2.22,0.57,-,414.6,800000000,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FSS,Financials: Finance and Securities,2.62,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,17.56,3187054112,17.56,1.97,3.55,2.16,131.71,465263374,1.6,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KTC,Financials: Finance and Securities,31,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,45.25,11538044963,45.25,2.22,20.13,0.89,101.41,257833407,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BUI,Financials: Insurance,16.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,328000000,N/A,0.66,24.77,-,2.34,20000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CHARAN,Financials: Insurance,52.5,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39,343500000,11.39,0.58,97.87,5.24,16.36,6000000,10,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KSL,Food and Beverage,13.7,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,21137621362,9.12,1.89,6.86,3.85,15.61,1704646884,1,Q1/2013,41364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
